iter	Logloss
124	0.5482052862
125	0.5480292337
126	0.5478419861
127	0.5476582632
128	0.5474935515
129	0.5473018133
130	0.5471149912
131	0.5469008599
132	0.546658105
133	0.5465239274
134	0.5463464782
135	0.5461723444
136	0.5460147188
137	0.5458447538
138	0.545587535
139	0.5453928935
140	0.5452503247
141	0.5450937501
142	0.5448984164
143	0.5446914834
144	0.5445070403
145	0.5443712426
146	0.5441881377
147	0.5439895071
148	0.5437823059
149	0.5436442839
150	0.5434494246
151	0.543223409
152	0.5430451145
153	0.5428786681
154	0.5427482088
155	0.5425263479
156	0.5423567549
157	0.5421731766
158	0.5420600865
159	0.5419742018
160	0.5419437323
161	0.5417991595
162	0.541650767
163	0.5415429009
164	0.5413445073
165	0.5411813636
166	0.5411102737
167	0.5409516137
168	0.5406982785
169	0.5405770278
170	0.540469889
171	0.5403625853
172	0.5402337288
173	0.5401217626
174	0.5399560989
175	0.5397951269
176	0.5396530313
177	0.5395419699
178	0.5394262447
179	0.5393614038
180	0.5392531784
181	0.5391438047
182	0.5389992281
183	0.538903039
184	0.5387929218
185	0.5387241597
186	0.5386021004
187	0.5384622503
188	0.538302447
189	0.5381535997
190	0.5380264829
191	0.5379178289
192	0.537725777
193	0.5375879646
194	0.537442877
195	0.5373080369
196	0.537115982
197	0.5370281172
198	0.5368706828
199	0.5368051853
200	0.5367439977
201	0.5366617179
202	0.5364950342
203	0.5363294718
204	0.5361183272
205	0.5359871883
206	0.5358456889
207	0.535767279
208	0.5356273498
209	0.5354345869
210	0.5352887684
211	0.5351695405
212	0.5351205285
213	0.5350131443
214	0.5348293504
215	0.5346973631
216	0.5345604427
217	0.5344160692
218	0.5343603655
219	0.5341949009
220	0.5340882213
221	0.5339906684
222	0.5338621222
223	0.5337206449
224	0.5336108673
225	0.533538593
226	0.5334146324
227	0.5333497018
228	0.533264048
229	0.5331608399
230	0.5330698903
231	0.5329989343
232	0.532827759
233	0.5327503302
234	0.5326456978
235	0.5325518622
236	0.532430918
237	0.5323468055
238	0.5322544347
239	0.5321682327
240	0.5320712881
241	0.5319824936
242	0.5318540044
243	0.531711234
244	0.5316326044
245	0.5315665445
246	0.531483088
247	0.5313263615
248	0.5312130511
249	0.5311127143
250	0.5310000289
251	0.5309704921
252	0.5308798182
253	0.5308126673
254	0.5307330531
255	0.5305846616
256	0.5304970315
257	0.5303728348
258	0.5302321783
259	0.5300785437
260	0.5299419343
261	0.529830956
262	0.5296559015
263	0.529528816
264	0.5294260383
265	0.5292967114
266	0.5291967772
267	0.5290260508
268	0.5289581943
269	0.5288639612
270	0.5287415501
271	0.5285877654
272	0.5284693092
273	0.5283675792
274	0.52829222
275	0.5281914888
276	0.5280931347
277	0.5279926963
278	0.5278880785
279	0.5277637821
280	0.5276321738
281	0.5275678701
282	0.5274642153
283	0.5273281765
284	0.5272465672
285	0.5270943636
286	0.526981799
287	0.5268675175
288	0.5267434575
289	0.5266983728
290	0.5265176699
291	0.5263732164
292	0.5263038306
293	0.5262185277
294	0.5260409687
295	0.5258661513
296	0.5257562043
297	0.5256626006
298	0.5255434469
299	0.5253759308
300	0.5252818501
301	0.5251936975
302	0.5250826042
303	0.5250824552
304	0.5249886939
305	0.5249209212
306	0.5248585303
307	0.5246645415
308	0.5245420632
309	0.5243790242
310	0.524327122
311	0.5241920538
312	0.5241128727
313	0.5240135799
314	0.5239322715
315	0.5238913127
316	0.5237849363
317	0.5236950983
318	0.5235206127
319	0.5233977467
320	0.5232944986
321	0.5231937413
322	0.5231236413
323	0.5229874238
324	0.5228984432
325	0.522765378
326	0.5226287301
327	0.5225719112
328	0.5224612836
329	0.5223989071
330	0.5223017145
331	0.5221416747
332	0.5220249263
333	0.5219136894
334	0.521813927
335	0.521646239
336	0.5215241492
337	0.5214990872
338	0.5213760619
339	0.5212965152
340	0.5212321793
341	0.521132676
342	0.5210174217
343	0.5208756874
344	0.5207716893
345	0.5206702436
346	0.5205089215
347	0.5204494012
348	0.520349063
349	0.5202595847
350	0.5202073011
351	0.5200721608
352	0.5199866548
353	0.5198784483
354	0.5198001613
355	0.5196964951
356	0.5195658099
357	0.5194431618
358	0.5193466809
359	0.5192633199
360	0.519185333
361	0.5191143936
362	0.5190551045
363	0.5189987057
364	0.5189200709
365	0.5188487971
366	0.5187357631
367	0.5186262264
368	0.5184577377
369	0.5183587415
370	0.5182499079
371	0.5181921007
372	0.5180854094
373	0.5180110012
374	0.5179276415
375	0.5177522287
376	0.5176841782
377	0.5175943052
378	0.5175160426
379	0.5174058511
380	0.517274208
381	0.5171717241
382	0.5170951462
383	0.5170190147
384	0.5169261693
385	0.5168333134
386	0.5167960953
387	0.5166468684
388	0.5165569507
389	0.5164262892
390	0.5163496689
391	0.5162375452
392	0.5161337362
393	0.516012343
