iter	Logloss
0	0.6879016589
1	0.6828611368
2	0.6785136025
3	0.6737821931
4	0.6692785262
5	0.6654478818
6	0.6616010691
7	0.6575019199
8	0.6537925307
9	0.6500081939
10	0.6464925973
11	0.6431590628
12	0.6397331026
13	0.6368984953
14	0.6343992916
15	0.6313443219
16	0.628769653
17	0.6259257029
18	0.6233586021
19	0.6211788132
20	0.6189289672
21	0.6169340016
22	0.6149121019
23	0.6130360834
24	0.6107604131
25	0.6091456296
26	0.6071504518
27	0.6051292909
28	0.603348481
29	0.6019151515
30	0.60032145
31	0.5990328796
32	0.5975403635
33	0.5961959418
34	0.5949883098
35	0.5936640803
36	0.592245716
37	0.5910632178
38	0.5896539134
39	0.5886139387
40	0.5872421707
41	0.5859142171
42	0.5847535273
43	0.583815842
44	0.5828193785
45	0.5820173135
46	0.5808473528
47	0.5799405265
48	0.5789039483
49	0.5778914774
50	0.5770605626
51	0.5763007147
52	0.5755401298
53	0.5747488129
54	0.5739755294
55	0.5731536518
56	0.5722985122
57	0.5714935822
58	0.5708513086
59	0.5701644237
60	0.569602646
61	0.5690723049
62	0.5685933202
63	0.5680853595
64	0.5674730962
65	0.566876172
66	0.5663643353
67	0.5658171555
68	0.5653056472
69	0.5648342209
70	0.5643963912
71	0.5639410122
72	0.5635576141
73	0.5631217428
74	0.5626945445
75	0.5623111703
76	0.5619231979
77	0.5615506851
78	0.5611745031
79	0.5607104112
80	0.5603590574
81	0.5599023464
82	0.5595751061
83	0.5592620323
84	0.5589003181
85	0.5584606664
86	0.5581006397
87	0.5577897219
88	0.5573879056
89	0.5569953382
90	0.5567230076
91	0.5564096574
92	0.556089838
93	0.5556936919
94	0.5554471915
95	0.5551136067
96	0.5547824583
97	0.554472311
98	0.5541824799
99	0.553892882
100	0.5535621447
101	0.5532945329
102	0.5531243994
103	0.5528483805
104	0.5525707205
105	0.5522656245
106	0.5520752096
107	0.5518719253
108	0.5516915318
109	0.5514849101
110	0.5512284143
111	0.5509682225
112	0.5507619296
113	0.5505430251
114	0.5503305721
115	0.5501787812
116	0.5499438277
117	0.5497257738
118	0.5495137978
119	0.5493123631
120	0.5491192637
121	0.5488649586
122	0.5486430729
123	0.5484313075
